pk_teuna_fikt,THUM_GEOGRAFI,SUG_DEREH,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,TEURA,MEZEG_AVIR,LO_HAZA,MEKOM_HAZIYA,MAHOZ,NAFA,Latitude,Longitude
2021000826,ישראל ללא יהודה ושומרון,עירונית לא בצומת,2022,ינואר,12,יום אחר,יום,שני,קלה,התנגשות חזית באחור,,מיפרדה בנויה ללא גדר בטיחות,"עד 50 קמ""ש",אין ליקויים,אור יום רגיל,בהיר,לא ידוע,,תל אביב,תל אביב,32.026329695093814,34.74833454765822
2021005117,ישראל ללא יהודה ושומרון,לא-עירונית לא בצומת,2022,ינואר,20,יום אחר,לילה,רביעי,קלה,ירידה מהכביש או עלייה למדרכה,דו סיטרי אין קו הפרדה רצוף,,לא ידוע,לא ידוע,לילה לא ידוע,לא ידוע,לא ידוע,,הצפון,גולן,33.2541683517182,35.76535861898884
2021013450,ישראל ללא יהודה ושומרון,לא-עירונית לא בצומת,2022,פברואר,19,יום אחר,לילה,שישי,קלה,התנגשות צד בצד,דו סיטרי אין קו הפרדה רצוף,,"קמ""ש 80",כביש משובש בלבד,קיימת תאורה בלתי תקינה / לא פועלת,גשום,לא ידוע,,הצפון,עכו,32.858605867872775,35.31964755580084
2021014110,ישראל ללא יהודה ושומרון,לא-עירונית לא בצומת,2022,ינואר,18,יום אחר,לילה,חמישי,קלה,התנגשות חזית בצד,,מיפרדה בנויה ללא גדר בטיחות,"קמ""ש 90",אין ליקויים,לילה פעלה תאורה,בהיר,לא ידוע,,הדרום,אשקלון,31.60128142030739,34.80457955369104
2021031094,ישראל ללא יהודה ושומרון,עירונית בצומת,2022,ינואר,19,יום אחר,לילה,שני,קלה,התנגשות חזית בצד,דו סיטרי אין קו הפרדה רצוף,,"עד 50 קמ""ש",אין ליקויים,לילה פעלה תאורה,בהיר,לא ידוע,,הצפון,עכו,32.92441783180128,35.07805590297962
2021078056,ישראל ללא יהודה ושומרון,עירונית לא בצומת,2022,ינואר,18,יום אחר,לילה,ראשון,קלה,התנגשות צד בצד,חד סיטרי,,"עד 50 קמ""ש",אין ליקויים,לילה פעלה תאורה,בהיר,לא ידוע,,תל אביב,תל אביב,32.05054365247961,34.79064192416898
2022000012,ישראל ללא יהודה ושומרון,עירונית בצומת,2022,ינואר,17,יום אחר,לילה,רביעי,קלה,התנגשות צד בצד,דו סיטרי אין קו הפרדה רצוף,,"עד 50 קמ""ש",אין ליקויים,לילה לא ידוע,בהיר,לא ידוע,,תל אביב,תל אביב,32.085647391853165,34.836465440513926
2022000020,ישראל ללא יהודה ושומרון,עירונית לא בצומת,2022,יולי,16,יום אחר,יום,שישי,קלה,התנגשות צד בצד,דו סיטרי אין קו הפרדה רצוף,,"עד 50 קמ""ש",כביש משובש בלבד,אור יום רגיל,בהיר,לא ידוע,,חיפה,חיפה,32.80423222637034,35.10848450857773
2022000021,ישראל ללא יהודה ושומרון,עירונית לא בצומת,2022,ספטמבר,17,יום אחר,יום,שישי,קלה,פגיעה בהולך רגל,חד סיטרי,,"עד 50 קמ""ש",אין ליקויים,אור יום רגיל,בהיר,היה על שוליים / מדרכה,,תל אביב,תל אביב,32.05590722762493,34.77377076268921
2022000022,ישראל ללא יהודה ושומרון,עירונית בצומת,2022,מרס,8,ערב חג,יום,רביעי,קלה,התנגשות חזית בצד,חד סיטרי,,"עד 50 קמ""ש",אין ליקויים,אור יום רגיל,בהיר,לא ידוע,,המרכז,השרון,32.31971936042214,34.86168873684036
